Domain,Sub_domain,Question,Answer,Explanation (detailed),"Refer to, quote"
금융보안법률,전자금융,"선불전자지급수단의 환급과 관련하여 금융회사 또는 전자금융업자가 잔액의 전부를 지급한다는 내용을 약관에 포함시켜야 하는 경우는?
1 선불전자지급수단의 결함으로 가맹점이 재화 또는 용역을 제공하지 못하는 경우
2 선불전자지급수단의 발행잔액이 일정비율 이상인 경우
3 가맹점의 사업주가 동일한 경우에만 사용되는 경우
4 이용자가 미리 직접 대가를 지불하지 않은 경우",1 선불전자지급수단의 결함으로 가맹점이 재화 또는 용역을 제공하지 못하는 경우,"제19조에 따르면, 금융회사 또는 전자금융업자는 선불전자지급수단의 환급과 관련된 약정을 약관에 기재해야 하며, 선불전자지급수단의 결함으로 인해 가맹점이 재화 또는 용역을 제공하지 못하는 경우에는 잔액의 전부를 지급해야 한다는 내용을 포함시켜야 한다.",전자금융거래법 제19조
금융보안법률,전자금융,"전자채권의 양도가 「민법」 제450조제1항의 규정에 따른 대항요건을 갖추기 위해 필요한 조건으로 옳은 것은?
1 양도인의 채권양도의 통지 또는 채무자의 승낙이 구두로 이루어질 것
2 양도인의 채권양도의 통지 또는 채무자의 승낙이 전자서명된 전자문서로 이루어질 것
3 양도인의 채권양도의 통지 또는 채무자의 승낙이 서면으로 이루어질 것
4 양도인의 채권양도의 통지 또는 채무자의 승낙이 이메일로 이루어질 것",2 양도인의 채권양도의 통지 또는 채무자의 승낙이 전자서명된 전자문서로 이루어질 것,전자채권의 양도가 「민법」 제450조제1항의 규정에 따른 대항요건을 갖추기 위해서는 양도인의 채권양도의 통지 또는 채무자의 승낙이 「전자서명법」 제2조제2호에 따른 전자서명(서명자의 실지명의를 확인할 수 있는 것을 말한다)을 한 전자문서에 의하여 이루어져야 한다.,"제20조(전자채권양도의 대항요건) 1전자채권의 양도는 다음 각 호의 요건을 모두 갖춘 때에 「민법」 제450조제1항의 규정에 따른 대항요건을 갖춘 것으로 본다.

---"
금융보안법률,전자금융,"전자금융거래법 제21조의3에 따르면, 금융회사 및 전자금융업자가 전자금융거래의 안전성과 신뢰성을 확보하기 위해 수행해야 하는 조치로 옳은 것은?
1 전자금융기반시설의 취약점 분석 및 평가
2 전자금융거래 기록의 파기
3 정보보호최고책임자의 임명
4 전자적 침해행위의 금지",1 전자금융기반시설의 취약점 분석 및 평가,제21조는 금융회사 및 전자금융업자가 전자금융거래의 안전성과 신뢰성을 확보하기 위해 전자금융기반시설의 취약점을 분석하고 평가해야 한다고 명시하고 있다. 이는 전자금융거래의 안전성을 높이기 위한 필수적인 조치이다.,제21조의3(전자금융기반시설의 취약점 분석ㆍ평가)
금융보안법률,전자금융,"전자금융거래법 제21조에 따라 금융회사 및 전자금융업자가 전자금융기반시설의 취약점 분석ㆍ평가 결과를 보고해야 하는 기관은 어디인가?
1 금융감독원
2 금융위원회
3 정보보호위원회
4 대통령령",2 금융위원회,"제21조에 따르면, 금융회사 및 전자금융업자는 전자금융기반시설의 취약점 분석 및 평가 결과를 금융위원회에 보고해야 한다. 이는 전자금융거래의 안전성을 보장하기 위한 절차이다.",제21조의3(전자금융기반시설의 취약점 분석ㆍ평가) 1 금융회사 및 전자금융업자는 ... 그 결과를 금융위원회에 보고하여야 한다.
금융보안법률,전자금융,"다음 중 ""정보보호최고책임자""에 대한 설명으로 옳은 것은?
1 정보보호최고책임자는 전자금융업무의 보안을 총괄하여 책임진다.
2 정보보호최고책임자는 모든 정보기술부문 업무를 겸직할 수 있다.
3 정보보호최고책임자는 임원으로 지정될 필요가 없다.
4 정보보호최고책임자는 전자금융거래의 안정성 확보와 무관하다.",1 정보보호최고책임자는 전자금융업무의 보안을 총괄하여 책임진다.,"제21조의2에 따르면, 금융회사 또는 전자금융업자는 전자금융업무 및 그 기반이 되는 정보기술부문 보안을 총괄하여 책임질 정보보호최고책임자를 지정해야 한다. 이는 정보보호최고책임자가 전자금융업무의 보안을 총괄하여 책임진다는 것을 의미한다.","전자금융거래법 제21조의2

---"
금융보안법률,전자금융,"""정보보호최고책임자""의 임명에 관한 설명으로 옳지 않은 것은?
1 정보보호최고책임자는 임원으로 지정되어야 한다.
2 정보보호최고책임자는 일부 업무 외의 다른 정보기술부문 업무를 겸직할 수 없다.
3 정보보호최고책임자는 전자금융거래의 사고 예방 및 조치를 수행한다.
4 정보보호최고책임자는 정보보호위원회의 장이 될 수 없다.",4 정보보호최고책임자는 정보보호위원회의 장이 될 수 없다.,"제21조의2에 따르면, 정보보호최고책임자는 정보기술부문 외의 업무를 겸직할 수 없으며, 전자금융거래의 사고 예방 및 조치를 수행한다. 또한, 정보보호위원회의 장은 정보보호최고책임자가 될 수 있다.",전자금융거래법 제21조의2
금융보안법률,전자금융,"전자금융기반시설의 취약점 분석ㆍ평가에 관한 절차와 방법에 대한 설명으로 옳지 않은 것은?
1 자체전담반을 구성하여 실시할 수 있다.
2 외부 기관에 의뢰하여 실시할 수 있다.
3 취약점 분석ㆍ평가는 매 사업연도마다 1회 이상 실시해야 한다.
4 취약점 분석ㆍ평가 결과는 최고경영자에게 보고할 필요가 없다.",4 취약점 분석ㆍ평가 결과는 최고경영자에게 보고할 필요가 없다.,"전자금융기반시설의 취약점 분석ㆍ평가는 자체전담반을 구성하거나 외부 기관에 의뢰하여 실시할 수 있으며, 매 사업연도마다 1회 이상 실시해야 한다. 또한, 취약점 분석ㆍ평가 결과는 최고경영자에게 보고해야 한다.",제21조의3(전자금융기반시설의 취약점 분석ㆍ평가)
금융보안법률,전자금융,"전자금융기반시설의 안정적 운영을 방해할 목적으로 일시에 대량의 신호, 고출력 전자기파 또는 데이터를 보내거나 부정한 명령을 처리하도록 하는 등의 방법으로 전자금융기반시설에 오류 또는 장애를 발생하게 하는 행위는 무엇에 해당하는가?
1 전자적 침해행위
2 정보보호 위반
3 금융사기
4 데이터 유출",1 전자적 침해행위,"전자금융기반시설의 안정적 운영을 방해할 목적으로 대량의 신호, 고출력 전자기파 또는 데이터를 보내거나 부정한 명령을 처리하도록 하는 등의 방법으로 전자금융기반시설에 오류 또는 장애를 발생하게 하는 행위는 전자적 침해행위에 해당한다. 이는 전자금융거래법 제21조의4에 명시된 전자적 침해행위의 금지 조항에 해당한다.","전자금융거래법 제21조의4

---"
금융보안법률,전자금융,"전자금융거래법 제21조의5에 따르면, 침해사고가 발생했을 때 금융회사 및 전자금융업자가 취해야 할 조치로 올바른 것은 무엇인가?
1 침해사고 발생 사실을 금융위원회에 즉시 통지한다.
2 침해사고 발생 사실을 30일 이내에 금융위원회에 통지한다.
3 침해사고 발생 사실을 금융감독원에 즉시 통지한다.
4 침해사고 발생 사실을 30일 이내에 금융감독원에 통지한다.",1 침해사고 발생 사실을 금융위원회에 즉시 통지한다.,"제21조의5에 따르면, 금융회사 및 전자금융업자는 침해사고가 발생했을 때 그 사실을 금융위원회에 즉시 통지해야 한다. 이는 침해사고의 확산을 방지하고 신속한 대응을 위해 필요한 조치이다.","전자금융거래법 시행령 제21조의5

---"
금융보안법률,전자금융,"전자금융거래법 제21조의6에 따라 금융회사 및 전자금융업자가 침해사고 대응능력을 확보하기 위해 연 1회 이상 수행해야 하는 것은 무엇인가?
1 침해사고 대응 및 복구훈련 계획 수립 및 시행
2 금융위원회에 보안취약점 통보
3 전자금융거래 기록 보존
4 금융권 통합 보안관제센터 운영",1 침해사고 대응 및 복구훈련 계획 수립 및 시행,"제21조의6에 따르면 금융회사 및 전자금융업자는 침해사고에 대한 대응능력 확보를 위해 연 1회 이상 침해사고 대응 및 복구훈련 계획을 수립하고 시행해야 하며, 그 계획 및 결과를 침해사고대응기관의 장에게 제출해야 한다.",전자금융거래법 시행령 제21조의6
금융보안법률,전자금융,"침해사고 대응을 위한 금융위원회의 업무에 해당하지 않는 것은 무엇인가?
1 침해사고 대책본부 운영
2 침해사고 조사 및 정보제공 요청
3 전자금융거래 기록 보존
4 보안취약점 통보",3 전자금융거래 기록 보존,"침해사고 대응을 위한 금융위원회의 업무에는 침해사고 대책본부 운영, 침해사고 조사 및 정보제공 요청, 보안취약점 통보 등이 포함되며, 전자금융거래 기록 보존은 포함되지 않는다.",전자금융감독규정 제11조의6
금융보안법률,전자금융,"전자지급수단의 발행권면 최고한도가 300만원인 경우는?
1 외국인관광객이 국내에서 사용하기 위해 발행하는 경우
2 재난에 대응하여 국가가 지원금을 지급하기 위해 발행하는 경우
3 실지명의로 발행하는 경우
4 전자자금이체의 이용한도",2 재난에 대응하여 국가가 지원금을 지급하기 위해 발행하는 경우,"재난에 대응하여 국가 또는 지방자치단체가 수급자, 사용처 및 사용기간 등을 정하여 지원금을 지급하기 위해 발행하는 경우, 선불전자지급수단의 발행권면 최고한도는 300만원이다.","""제23조 전자지급수단 등의 발행과 이용한도"""
금융보안법률,전자금융,"전자자금이체의 이용한도는 얼마의 범위에서 정하여 고시되는가?
1 50만원
2 1억원
3 100억원
4 1천만원",3 100억원,"전자자금이체의 이용한도는 100억원의 범위에서 금융위원회가 정하여 고시한다. 다만, 금융회사 또는 전자금융업자와 이용자 간에 별도의 계약이 있는 경우에는 그 이용한도를 달리 정할 수 있다.","""제23조 전자지급수단 등의 발행과 이용한도"""
금융보안법률,전자금융,"전자금융거래법 제24조에 따르면, 금융회사 또는 전자금융업자가 약관을 변경할 때, 변경된 약관의 시행일 몇 달 전에 이를 게시하고 이용자에게 알려야 하는가?
1 1개월
2 2개월
3 3개월
4 6개월",1 1개월,"전자금융거래법 제24조에 따르면, 금융회사 또는 전자금융업자가 약관을 변경할 때에는 변경되는 약관의 시행일 1개월 전에 이를 게시하고 이용자에게 알려야 한다. 이는 이용자가 변경된 약관에 대해 충분히 인지하고 대응할 수 있도록 하기 위함이다.","전자금융거래법 제24조(약관의 명시와 변경통지 등) 3

---"
금융보안법률,전자금융,"전자금융거래법 제24조에 의하면, 이용자가 약관 변경에 대해 이의를 제기하지 않을 경우, 이는 무엇을 의미하는가?
1 약관 변경을 승인한 것으로 본다.
2 약관 변경을 거부한 것으로 본다.
3 약관 변경에 대해 재협상해야 한다.
4 약관 변경에 대해 법적 조치를 취해야 한다.",1 약관 변경을 승인한 것으로 본다.,"전자금융거래법 제24조에 따르면, 이용자가 약관의 변경내용에 대해 이의를 제기하지 아니하는 경우에는 약관의 변경을 승인한 것으로 본다. 이는 이용자가 변경된 약관에 대해 별도의 반대 의사를 표시하지 않을 경우, 변경된 약관을 수용한 것으로 간주하는 규정이다.",전자금융거래법 제24조(약관의 명시와 변경통지 등) 4
금융보안법률,전자금융,"금융위원회가 전자금융거래 약관의 변경을 권고할 수 있는 경우로 옳은 것은?
1 이용자의 권익을 확대하기 위한 경우
2 전자금융거래질서의 유지를 위해 필요한 경우
3 금융회사의 요청이 있는 경우
4 약관의 변경이 불필요한 경우",2 전자금융거래질서의 유지를 위해 필요한 경우,금융위원회는 건전한 전자금융거래질서를 유지하기 위하여 필요한 경우에 금융회사 또는 전자금융업자에 대하여 약관의 변경을 권고할 수 있다.,전자금융거래법 제25조(약관의 제정 및 변경)
금융보안법률,전자금융,"전자금융거래법 제27조에 따라 이용자가 분쟁조정을 신청할 수 있는 기관으로 올바른 것은?
1 금융위원회
2 한국은행
3 금융감독원의 금융분쟁조정위원회
4 국세청",3 금융감독원의 금융분쟁조정위원회,"전자금융거래법 제27조에 따르면, 이용자는 금융감독원의 금융분쟁조정위원회 또는 한국소비자원의 소비자분쟁조정위원회에 분쟁조정을 신청할 수 있다.",전자금융거래법 시행령 제27조제3항
금융보안법률,전자금융,"전자화폐의 발행 및 관리업무의 허가를 받기 위해 필요한 자본금 요건으로 옳은 것은?
1 10억원 이상
2 20억원 이상
3 30억원 이상
4 50억원 이상",4 50억원 이상,전자금융업의 허가를 받기 위해서는 주식회사로서 자본금이 50억원 이상이어야 한다는 규정이 있다. 이는 전자금융업의 안정성과 신뢰성을 확보하기 위한 최소한의 자본금 요건이다.,전자금융거래법 제30조(자본금) 1제28조제1항의 규정에 따라 허가를 받고자 하는 자는 주식회사로서 자본금이 50억원 이상이어야 한다.
