Question,Answer,Keyword
금융 웹사이트의 '쿠키(Cookie)' 수집 시 이용자 동의가 필요한 항목과 예외 항목을 구분하세요.,"마케팅 목적 쿠키는 동의가 필수이나, 로그인 유지 등 필수 기능 쿠키는 예외일 수 있습니다.",쿠키 동의
개인정보보호법상 '이용자 권익 보호'를 위한 고충처리부서 운영 요건을 설명하세요.,상시 민원 처리가 가능하고 전문 지식을 갖춘 개인정보 보호 담당자를 배치해야 합니다.,고충처리부서
개인정보의 '파기' 절차에서 물리적 파기와 전자적 파기 방법의 차이점을 서술하세요.,"물리적 파기는 소각/파쇄, 전자적 파기는 복구가 불가능하도록 덮어쓰기나 로우레벨 포맷을 수행합니다.",정보 파기
비식별 처리 시 '재식별 위험'을 상시 모니터링해야 하는 관리적 이유를 설명하세요.,외부 데이터와의 결합을 통해 익명화된 정보가 다시 특정인을 지목할 수 있는 리스크를 방지하기 위함입니다.,재식별 리스크
개인정보 처리 위탁과 제3자 제공 시 정보주체 동의 방식의 차이점을 설명하세요.,"제3자 제공은 명시적 별도 동의가 필요하나, 위탁은 업무 수행을 위해 고지하거나 동의를 받을 수 있습니다.",위탁 vs 제공
L7 스위치를 이용한 '로드 밸런싱'이 보안성 향상에 기여하는 원리를 설명하세요.,트래픽을 분산하여 DoS 공격에 의한 특정 서버 마비를 방지하고 애플리케이션 보안 기능을 통합합니다.,L7 로드밸런싱
방화벽(Firewall)의 '상태 기반 점검(Stateful Inspection)' 기술의 특징을 서술하세요.,패킷의 헤더뿐만 아니라 통신 세션의 상태 정보를 유지하여 정상적인 흐름의 패킷만 허용합니다.,Stateful Inspection
침입방지시스템(IPS)이 침입탐지시스템(IDS)보다 금융권에서 선호되는 이유를 기술하세요.,탐지를 넘어 실시간으로 공격 패킷을 차단함으로써 실제 피해를 예방할 수 있기 때문입니다.,IPS vs IDS
VLAN(Virtual LAN)을 이용한 네트워크 분리가 내부자 위협 대응에 효과적인 이유를 설명하세요.,부서별/업무별로 논리적 네트워크를 격리하여 비인가된 내부망 이동과 데이터 접근을 차단합니다.,VLAN 분리
SSH 프로토콜이 Telnet보다 보안상 우수한 기술적 근거를 제시하세요.,통신 전 과정을 암호화하고 공개키 기반 인증을 사용하여 패스워드 스니핑과 위조를 방지합니다.,SSH 보안
서버 접근통제 시스템의 '명령어 필터링' 기능이 갖는 보안적 목적을 서술하세요.,"관리자 계정 탈취 시에도 rm, format 등 치명적인 명령어를 실행하지 못하도록 사전에 차단합니다.",명령어 필터링
패치 관리 시스템(PMS)을 통한 정기적 취약점 패치가 '제로데이 공격' 예방에 미치는 영향을 기술하세요.,알려진 취약점을 제거하여 공격 통로를 줄이며 최신 보안 패치를 전사적으로 자동 배포합니다.,"PMS, 패치 관리"
로그 분석(SIEM) 시스템에서 '상관관계 분석'이 보안 이벤트 탐지에 중요한 이유를 설명하세요.,서로 다른 장비의 로그를 연결 분석하여 복합적이고 지능적인 공격 패턴을 식별할 수 있습니다.,SIEM 상관관계 분석
안티바이러스(AV) 솔루션의 '휴리스틱 탐지' 기술이 시그니처 방식과 다른 점을 서술하세요.,기존 패턴이 없어도 악성코드 특유의 행위(파일 변조 등)를 분석하여 변종 악성코드를 탐지합니다.,휴리스틱 탐지
"디지털 포렌식의 5대 원칙(정당성, 재현성 등) 중 '재현성'이 법적 증거력 확보에 중요한 이유를 설명하세요.",동일한 환경에서 검증했을 때 같은 결과가 나와야 분석 과정의 객관성과 신뢰성을 인정받을 수 있습니다.,포렌식 재현성
메모리 포렌식을 통해 탐지 가능한 '파일리스(Fileless)' 악성코드의 특징을 서술하세요.,하드디스크가 아닌 RAM에만 상주하여 실행되므로 기존 파일 기반 백신으로는 탐지가 매우 어렵습니다.,파일리스 악성코드
APT 공격의 '정찰(Reconnaissance)' 단계에서 공격자가 사용하는 사회공학적 기법의 예시를 기술하세요.,SNS나 이메일을 통해 타겟의 관심사를 파악한 후 맞춤형 피싱 메일을 보내 악성코드를 유포합니다.,"APT 정찰, 피싱"
샌드박스(Sandbox) 기술이 악성코드 동적 분석에서 갖는 보안적 역할을 설명하세요.,격리된 가상 환경에서 실제 악성코드를 실행해 봄으로써 시스템에 피해를 주지 않고 행위를 분석합니다.,샌드박스 분석
루트킷(Rootkit)이 운영체제 커널 수준에서 자신을 은닉하는 기술적 원리를 서술하세요.,시스템 호출(System Call)을 가로채거나 커널 오브젝트를 수정하여 탐지 도구에 자신의 존재를 숨깁니다.,루트킷 은닉 기술
악성코드의 '난독화(Obfuscation)'가 정적 분석을 방해하는 방식과 이에 대한 대응 방안을 제시하세요.,"코드 구조를 복잡하게 꼬아 가독성을 떨어뜨리며, 이를 위해 언팩킹(Unpacking)이나 동적 분석을 사용합니다.","난독화, 언팩킹"
침해 사고 분석 시 '타임라인 분석(Timeline Analysis)'이 사고 발생 경로 추적에 기여하는 바를 기술하세요.,시스템 로그와 파일 생성/수정 시간을 시계열로 정렬하여 공격자의 최초 침투 시점과 경로를 파악합니다.,타임라인 분석
Evasion 기법 중 하나인 '분할(Fragmentation)' 공격이 네트워크 보안 장비를 우회하는 원리를 설명하세요.,IP 패킷을 작게 쪼개어 보안 장비의 패턴 매칭을 회피한 후 대상 호스트에서 재조합되어 공격을 수행합니다.,"분할 공격, 우회"
역공학(Reverse Engineering) 방지를 위한 '코드 서명(Code Signing)'의 무결성 검증 절차를 설명하세요.,"실행 파일의 해시값을 제작자의 비밀키로 서명하고, 실행 시 공개키로 검증하여 위변조 여부를 확인합니다.",코드 서명
전자금융거래법상 '접근매체'의 범위와 그 소유권/사용권의 양도 금지 취지를 설명하세요.,"ID, 패스워드, 인증서 등이며 명의 도용과 대포통장 생성을 막아 거래의 투명성을 확보하기 위함입니다.",접근매체 양도 금지
전자금융사고 발생 시 금융회사가 면책받기 위해 입증해야 할 '고의/중과실'의 기준을 서술하세요.,이용자가 접근매체를 의도적으로 유출하거나 경고를 무시하고 제3자에게 정보를 제공한 사실을 증명해야 합니다.,금융회사 면책 기준
전자지급수단의 '발행권면 한도'가 법적으로 제한되는 정책적 배경을 설명하세요.,자금세탁 리스크를 줄이고 대규모 금융 사고 시 이용자 피해를 최소한으로 통제하기 위한 안전장치입니다.,발행권면 한도
전자금융거래법 제14조에 따른 '거래지시 철회'가 불가능해지는 시점은 구체적으로 언제인가요?,전자자금이체의 경우 수취인 계좌의 원장에 입금 기록이 완료되어 지급 효력이 발생한 시점입니다.,거래지시 철회 시점
전자금융업 등록 시 '인적 요건'으로 전산업무 경력자를 의무화한 실무적 이유를 기술하세요.,시스템 운영 및 보안 관리에 필요한 최소한의 기술적 역량과 전문성을 사업 주체가 보유하도록 강제합니다.,전자금융업 인적 요건
이용자의 '오류 정정 요구'에 대해 금융회사가 15일 이내에 처리 결과를 알려야 하는 법적 근거를 설명하세요.,이용자 권리를 보호하고 금융 거래의 신뢰성을 조속히 회복하기 위해 신속한 처리 의무를 부과합니다.,오류 정정 처리 기한
추심이체 시 이용자로부터 '서면 또는 전자서명 동의'를 받아야 하는 보안상 목적을 서술하세요.,이용자 모르게 자금이 인출되는 것을 방지하고 나중에 발생할 수 있는 분쟁에서 명확한 증거를 확보합니다.,추심이체 동의
전자화폐 발행자가 미상환 잔액에 대해 '보험 가입 또는 신탁'을 해야 하는 이유를 설명하세요.,발행자의 파산 시에도 이용자의 환금 권리를 보장하고 전자화폐의 지불 가치를 보호하기 위함입니다.,전자화폐 지불 보장
전자금융거래 기록의 '5년 보존' 의무가 금융 수사에 미치는 영향을 기술하세요.,과거 거래 내역의 추적 가능성을 확보하여 금융 사기나 자금세탁 수사 시 핵심적인 증거 자료를 제공합니다.,기록 보존 의무
망분리 환경에서 '망간 자료전송' 시 다단계 승인 절차가 필수적인 보안상 이유를 서술하세요.,데이터 이동에 대한 관리자 승인을 거쳐 중요 정보의 무단 유출과 악성코드의 내부망 유입을 이중 차단합니다.,망간 전송 승인
인터넷 뱅킹 시 'HTTPS' 강제 적용이 스니핑(Sniffing) 공격에 미치는 영향을 설명하세요.,통신 구간을 암호화하여 공격자가 네트워크 패킷을 가로채더라도 실제 데이터 내용을 읽을 수 없게 합니다.,HTTPS 스니핑 방지
네트워크 접근제어(NAC) 솔루션의 '격리(Quarantine)' 기능이 감염 단말기 관리에 주는 이점을 기술하세요.,보안 요건 미비나 감염된 기기를 별도 망으로 분리하여 전체 네트워크로의 감염 확산을 막습니다.,NAC 격리 기능
금융권 내부망에서 '비인가 공유폴더' 사용을 금지해야 하는 기술적 이유를 설명하세요.,SMB 취약점을 이용한 랜섬웨어의 확산 통로가 될 수 있으며 접근 제어가 어려워 정보 유출에 취약합니다.,공유폴더 보안
DNS 보안 프로토콜인 'DoH(DNS over HTTPS)'가 사용자 프라이버시 보호에 기여하는 원리를 서술하세요.,DNS 질의 내용을 HTTPS 패킷에 담아 암호화함으로써 ISP나 해커가 질의 사이트를 감시하지 못하게 합니다.,DoH 프라이버시
BGP 하이재킹(Hijacking) 공격이 금융 사이트 접속에 미치는 위험과 대응 방안을 제시하세요.,"네트워크 경로를 위조해 트래픽을 가로채며, 대응을 위해 RPKI 등 경로 인증 기술 도입이 필요합니다.",BGP 하이재킹
무선 침입 방지 시스템(WIPS)이 'Rogue AP'를 탐지하고 차단하는 메커니즘을 설명하세요.,인가되지 않은 AP의 무선 신호를 상시 모니터링하고 연결된 클라이언트에 강제 해제 패킷을 보내 차단합니다.,"WIPS, Rogue AP"
이메일 스푸핑 방지 기술인 SPF(Sender Policy Framework)의 작동 원리를 서술하세요.,수신측에서 송신측 도메인의 DNS에 등록된 허용 IP와 실제 메일 발송 IP를 비교하여 위조 여부를 검증합니다.,SPF 메일 보안
방화벽 정책 관리 시 'Any-Any' 규칙 사용을 엄격히 제한해야 하는 보안상 근거를 제시하세요.,최소 권한 원칙을 위반하며 모든 트래픽을 허용하여 보안 장비의 통제 기능을 사실상 무력화하기 때문입니다.,방화벽 Any 규칙 금지
개인정보보호법 제15조의 '수집/이용 동의' 시 4가지 필수 고지 사항을 기술하세요.,"수집 목적, 항목, 보유 기간, 동의 거부 시 불이익 내용을 명확히 알려야 합니다.",개인정보 필수 고지
정보주체의 '삭제권(잊힐 권리)' 행사가 불가능한 법적 예외 사례를 설명하세요.,다른 법령에서 보존 의무가 명시되어 있거나 범죄 수사 등 공익적 목적이 우선하는 경우입니다.,삭제권 예외 사례
개인정보 처리 위탁 시 '위탁자'의 수탁자에 대한 관리감독 책임 범위를 서술하세요.,수탁자가 법령을 위반하지 않도록 교육하고 정기적으로 실태 점검을 수행하며 사고 시 연대 책임을 집니다.,위탁자 관리책임
주민등록번호 처리가 엄격히 제한되는 배경과 예외적으로 허용되는 경우를 기술하세요.,고유 식별 정보로서 오남용 시 피해가 커 법률/대통령령 등에 구체적 근거가 있는 경우만 허용합니다.,주민번호 처리 제한
개인정보보호법상 '안전성 확보 조치' 중 관리적 보안 대책의 핵심 요소를 설명하세요.,"내부 관리 계획 수립, 개인정보 보호 조직 구성, 정기적 교육 및 내부 감사가 포함됩니다.",관리적 안전조치
"민감정보(건강, 사상 등) 처리 시 일반 개인정보와 다른 동의 절차의 특징을 서술하세요.",일반 동의와 별도로 분리하여 정보 주체로부터 명시적인 동의를 받아야 합니다.,민감정보 별도동의
개인정보 처리방침과 개인정보 이용내역 통지의 실무적 차이점을 설명하세요.,"처리방침은 상시 공개하는 기준이며, 이용내역 통지는 연 1회 이상 개별 이용자에게 실제 사용 현황을 알리는 것입니다.",처리방침 vs 이용통지
영상정보처리기기(CCTV) 설치 시 안내판 게시 의무와 설치 금지 장소를 구분하세요.,"설치 목적/범위를 알리는 안내판을 걸어야 하며 화장실, 목욕실 등 프라이버시 침해 장소는 금지됩니다.",CCTV 설치 규정
개인정보보호위원회의 '시정명령'을 불이행할 경우 발생하는 행정적 제재 내용을 기술하세요.,"이행 강제금 부과나 과태료, 혹은 법률 위반 사실에 대한 대외적 공표가 이루어질 수 있습니다.",시정명령 불이행 제재
전자서명법상 '인정기관'과 '평가기관'의 역할 차이를 상세히 구분하세요.,"평가기관은 운영기준 준수 여부를 기술적으로 심사하고, 인정기관(KISA)은 그 결과를 검토해 최종 인정을 부여합니다.",인정기관 vs 평가기관
전자서명의 '데이터 무결성'과 '가입자 확인' 기능이 상거래 신뢰에 주는 효과를 설명하세요.,문서 변조가 불가능함을 보장하고 서명자가 실제 본인임을 증명하여 거래의 법적 구속력을 확보합니다.,전자서명 신뢰 효과
인증업무준칙(CPS)을 인터넷 홈페이지에 상시 게시해야 하는 법적 목적을 서술하세요.,인증 서비스의 절차와 보안 정책을 투명하게 공개하여 이용자가 서비스의 신뢰 수준을 판단하게 합니다.,인증업무준칙 게시
전자서명인증사업자가 운영기준 준수사실 표시를 도용한 경우의 처벌 규정을 기술하세요.,인정을 받지 않고 허위로 표시한 자는 과태료 부과 및 서비스 중단 등의 행정 처분을 받을 수 있습니다.,준수사실 표시 도용
가입자의 '전자서명생성정보' 도용 방지를 위해 사업자가 취해야 할 기술적 조치를 설명하세요.,생성정보를 안전한 하드웨어에 저장하고 유출 시 즉시 폐기할 수 있는 절차를 마련해야 합니다.,생성정보 보호 조치
전자서명인증서 '폐지 및 효력 정지' 사유 중 가입자가 반드시 신고해야 하는 경우를 기술하세요.,자신의 서명 생성 정보(비밀키)가 유출되거나 분실된 것을 인지한 경우 지체 없이 신고해야 합니다.,인증서 폐지 신고
전자서명법상 '국제통용평가' 상호인정 제도가 국내 기업의 해외 진출에 주는 이점을 설명하세요.,국내 인정을 받은 인증 기술이 해외에서도 동등한 신뢰를 인정받아 중복 평가 비용을 절감하게 합니다.,국제통용 상호인정
전자서명인증서 발급 시 '신원확인' 단계에서 다중 인증이 필요한 기술적 이유를 서술하세요.,단일 인증 수단의 취약점을 보완하여 명의 도용에 의한 허위 인증서 발급 사고를 원천 차단하기 위함입니다.,인증 신원확인
인증 업무 휴지 또는 폐지 시 '가입자 보호 조치'로서 자료 이관의 중요성을 설명하세요.,서비스 중단 후에도 가입자의 인증 이력을 확인할 수 있도록 공신력 있는 기관으로 자료를 안전하게 옮겨야 합니다.,인증 업무 폐지 조치
신용정보법상 '개인신용평가 결과에 대한 설명요구권'의 행사 방법과 권리 내용을 설명하세요.,평가 결과에 이의가 있을 시 주요 근거 설명을 요구하고 기초 정보가 잘못된 경우 정정을 요청할 권리입니다.,평가 결과 설명요구권
마이데이터 사업자가 금융 소비자로부터 '전송요구권'을 행사받을 때 필수 확인 사항을 기술하세요.,"전송 대상 기관, 전송 데이터 항목, 목적, 보유 기간 등에 대한 정보 주체의 명확한 의사를 확인해야 합니다.",전송요구권 확인사항
신용정보의 '오남용 방지'를 위한 이용자 조회 기록 관리 및 통지 의무를 설명하세요.,정보 조회 시 사유를 기록하고 정기적으로 조회 내역을 주체에게 통지하여 부당한 조회를 감시합니다.,신용정보 조회 관리
신용정보법상 '신용정보회사'의 금지 업무 중 '채권추심 시 금지 행위'의 예시를 제시하세요.,"야간 방문, 폭행/협박, 관계인에게 채무 사실 고지 등 사생활 평온을 해치는 행위는 엄격히 금지됩니다.",채권추심 금지행위
신용정보집중기관(한국신용정보원 등)의 정보 수집 범위와 금융회사 간 공유 체계를 서술하세요.,"대출, 연체, 카드 개설 정보 등을 집중하여 금융사가 신용한도를 산정할 때 기초 자료로 공유하게 합니다.",신용정보 집중 공유
금융회사가 신용정보 보호를 위해 임명하는 '신용정보관리·보호인'의 핵심 직무를 설명하세요.,"신용정보 보안 대책 수립, 사고 조사 및 대책 마련, 법규 준수 여부 점검 및 감독을 총괄합니다.",신용정보 보호인
신용정보 유출로 인한 피해 발생 시 '법정 손해배상' 청구 제도의 특징을 기술하세요.,피해자가 구체적인 손해액을 입증하지 않아도 법원이 정한 범위(최대 300만원 등) 내에서 배상을 청구할 수 있습니다.,법정 손해배상
신용정보법상 '가명 처리' 시 독립된 외부 기관의 적정성 평가가 필요한 이유를 설명하세요.,금융회사 자의적인 판단으로 인한 재식별 리스크를 객관적으로 검증하여 데이터 활용의 안전성을 높입니다.,가명 처리 적정성 평가
본인신용정보관리업(마이데이터) 허가 요건 중 '물적 시설' 기준의 핵심 내용을 서술하세요.,"망분리 시스템, 보안 장비, 백업 시설 등 데이터를 안전하게 처리할 수 있는 전산 설비를 갖추어야 합니다.",마이데이터 물적 요건
금융권에서 활용되는 '차분 프라이버시(Differential Privacy)' 기술이 데이터 분석과 보안을 동시에 잡는 원리를 설명하세요.,데이터셋에 노이즈를 추가하여 개별 레코드의 노출을 막으면서도 전체적인 통계 특성은 유지하게 합니다.,차분 프라이버시
"양자 내성 암호(PQC)가 기존 공개키 암호(RSA, ECC)를 대체해야 하는 기술적 배경을 서술하세요.",양자 컴퓨터의 쇼어 알고리즘이 기존 암호의 수학적 난제를 빠르게 풀어 무력화할 수 있기 때문입니다.,양자 내성 암호(PQC)
금융 생성형 AI 사용 시 '프롬프트 인젝션(Prompt Injection)' 공격의 위험성과 방어 방안을 기술하세요.,"악의적 입력을 통해 AI가 내부 지침을 어기거나 민감 정보를 출력하게 하는 공격이며, 입력값 필터링이 필수입니다.",프롬프트 인젝션
클라우드 보안 솔루션인 CASB(Cloud Access Security Broker)의 주요 역할과 이점을 설명하세요.,클라우드 서비스와 사용자 사이에서 보안 정책을 강제하고 데이터 가시성 및 암호화를 제공합니다.,"CASB, 클라우드 보안"
금융 오픈 API 플랫폼 보안을 위한 'OAuth 2.0' 프로토콜의 인가(Authorization) 절차를 설명하세요.,사용자가 비밀번호를 제공하지 않고도 권한 증표(Token)를 통해 제3자 앱에 제한된 접근권을 부여합니다.,OAuth 2.0 절차
딥페이크(Deepfake)를 이용한 비대면 실명 확인 우회 공격에 대한 금융권의 기술적 대응책을 제시하세요.,AI 기반 위변조 탐지 기술(Liveness Detection)과 영상 통화 시 무작위 동작 요구 등을 결합합니다.,"딥페이크 대응, Liveness"
컨테이너 보안을 위해 '이미지 취약점 스캐닝'이 CI/CD 파이프라인에서 갖는 중요성을 서술하세요.,배포 전 이미지 내 악성코드나 취약한 라이브러리를 미리 발견하여 오염된 컨테이너가 가동되는 것을 막습니다.,컨테이너 이미지 보안
금융 서비스에 '블록체인 DID(분산 신원 증명)'를 적용할 때 개인정보 주체가 갖는 이점을 설명하세요.,개인이 자신의 신원 정보를 직접 관리하고 필요한 최소 정보만 선택적으로 제출하여 프라이버시를 강화합니다.,블록체인 DID
AI 모델의 '설명 가능성(XAI)'이 금융 규제 준수 및 신뢰 확보에 미치는 영향을 기술하세요.,AI의 의사 결정 근거를 사람이 이해할 수 있게 설명함으로써 신용 평가 등의 공정성과 투명성을 입증합니다.,"XAI, 설명 가능한 AI"
