Question,Answer,Keyword
Why should business unit heads participate in the Information Security Committee besides the IT department?,To balance business availability with security policies and reach a company-wide consensus on security measures.,"Security Committee, Stakeholder Alignment"
Describe the benefits of participating in the Information Sharing and Analysis Center (ISAC) for financial CERT teams.,Real-time sharing of the latest threat intelligence from other institutions allows for proactive defense measures.,"ISAC, Threat Intelligence Sharing"
Suggest two metrics besides 'number of incidents' to consider when setting security KPIs.,"Vulnerability remediation rate, employee security training completion rate, and success rates of incident response drills.","Security KPI, Performance Measurement"
Explain why Supply Chain Security is emphasized in recent financial governance.,Vulnerabilities in third-party software or open-source libraries can propagate as threats to the entire financial service ecosystem.,"Supply Chain Security, Third-party Risk"
Describe the practical difference between Regulatory Compliance and Risk Management.,"Compliance focuses on meeting minimum legal requirements, while Risk Management assesses and responds to actual potential threats.",Compliance vs. Risk Management
Why is the 'Accountability' model emphasized in the transition to an autonomous security framework?,To shift from formal compliance to a system where companies judge risks themselves and take substantive responsibility for outcomes.,"Autonomous Security, Accountability"
Describe the impact of the 'Data Minimization' principle on data collection governance.,It reduces management costs by decreasing unnecessary data holdings and minimizes the impact scope in the event of a breach.,"Data Minimization, Privacy Governance"
Compare File Encryption and Transparent Data Encryption (TDE) in terms of security and performance.,TDE requires no app changes but may impact DB performance; file encryption allows granular control but is more complex to manage.,TDE vs. File Encryption
Explain the principle of user authentication via Public Key Infrastructure (PKI) in asymmetric encryption.,The recipient verifies the digital signature using the public key in a certificate issued by a CA to ensure sender identity and data integrity.,"PKI, Digital Signature"
Describe the mechanism and security purpose of 'Screen Capture Prevention' technology in financial apps.,"It controls OS APIs to block screen capture, preventing sensitive information from being leaked as images during mobile banking.","Screen Capture Prevention, Mobile Security"
Explain the main features of the WPA3 protocol used in the financial sector for wireless network security.,It provides enhanced encryption and supports Simultaneous Authentication of Equals (SAE) to resist offline dictionary attacks.,"WPA3, Wireless Security"
Provide a technical basis for why Hardware Security Modules (HSM) are more secure than software-based key management.,"HSMs store keys in physical chips, prevent external extraction, and accelerate cryptographic operations in a secure environment.","HSM, Key Management"
Explain how SSL/TLS encryption prevents Man-in-the-Middle (MITM) attacks during data transmission.,"Through server certificate verification and session key encryption, it ensures that attackers cannot intercept or forge communication.","TLS, MITM Protection"
Describe how keyboard security programs detect and defend against keylogging malware.,They intercept key inputs at the kernel level to encrypt them or use virtual keyboards to bypass physical input interception.,"Keyboard Security, Keylogging"
Explain the security advantages of Time-based One-Time Password (TOTP) generation.,"By generating codes that change every few seconds, it effectively defends against password theft and replay attacks.","TOTP, Multi-factor Authentication"
Describe the role of Message Authentication Code (MAC) in ensuring the integrity of financial transactions.,"By comparing hash values generated with a secret계 key, it verifies that the data has not been altered during transmission.","MAC, Data Integrity"
Explain the criteria for calculating the 'Impact Index' during a Privacy Impact Assessment (PIA).,"It evaluates the severity of harm to data subjects if a breach occurs, combined with the probability of the incident happening.","PIA, Risk Assessment"
Describe the principle of 'K-anonymity' used to reduce re-identification risks in pseudonymized data.,"It groups records so that at least K individuals share the same set of attributes, preventing the deduction of a specific individual.","K-anonymity, De-identification"
Specify the scope of information a financial company must provide when a data subject exercises their 'Right of Access'.,"Included are the contents of personal data held, the purpose of collection, third-party provision status, and consent history.","Right of Access, PIPA"
"Explain the legal threshold (e.g., 1,000+ subjects) that triggers a mandatory breach notification to authorities.","Notification is required within 5 days if more than 1,000 subjects are affected or if sensitive information is leaked.","Breach Notification, Threshold"
Distinguish between 'Cookies' that require user consent and those that are exempt on financial websites.,"Marketing cookies require explicit consent, while essential functional cookies (e.g., maintaining login) may be exempt.","Cookie Consent, Privacy"
Explain the requirements for operating a grievance handling department under PIPA.,The department must be capable of handling complaints at all times and be staffed by experts in personal information protection.,"Grievance Handling, Data Subject Rights"
Compare the difference between physical destruction and electronic deletion of personal data.,Physical destruction involves incineration or shredding; electronic deletion involves overwriting or low-level formatting to prevent recovery.,"Data Destruction, Deletion"
Explain why 'Re-identification Risk' must be monitored continuously during pseudonymization management.,To prevent risks where anonymized data could point to a specific person again through linkage with external data sets.,"Re-identification Risk, Monitoring"
Describe the difference in consent methods between 'Outsourcing' (Processing) and 'Third-party Provision'.,"Third-party provision requires explicit separate consent, whereas outsourcing can be notified or consented to for the performance of a contract.",Outsourcing vs. Third-party Provision
Explain how load balancing using L7 switches contributes to improved security.,It prevents server failure from DoS attacks by distributing traffic and integrates application-level security features.,"L7 Load Balancing, Availability"
Describe the characteristics of 'Stateful Inspection' technology in firewalls.,"It maintains state information of communication sessions and allows only packets that belong to an established, legitimate flow.","Stateful Inspection, Firewall"
Why is an Intrusion Prevention System (IPS) preferred over an Intrusion Detection System (IDS) in finance?,"IPS can prevent actual damage by blocking malicious packets in real-time, rather than just alerting after detection.","IPS vs. IDS, Real-time Defense"
Explain why network segmentation using VLANs is effective against insider threats.,"It isolates networks by department or task, blocking unauthorized lateral movement and access to sensitive data segments.","VLAN, Network Segmentation"
Provide technical reasons why SSH is more secure than Telnet.,SSH encrypts the entire communication session and uses public-key authentication to prevent password sniffing and spoofing.,SSH vs. Telnet
Describe the security purpose of 'Command Filtering' in server access control systems.,It prevents even compromised administrator accounts from executing lethal commands like 'rm' or 'format' by blocking them upfront.,"Command Filtering, Access Control"
How does regular vulnerability patching via a Patch Management System (PMS) help prevent 'Zero-day attacks'?,"It eliminates known vulnerabilities to reduce the attack surface and ensures the rapid, automated deployment of security patches.","PMS, Patch Management"
Why is 'Correlation Analysis' in a SIEM system crucial for detecting security events?,It links logs from disparate devices to identify complex and sophisticated attack patterns that appear benign individually.,"SIEM, Correlation Analysis"
Describe how 'Heuristic Detection' in antivirus solutions differs from signature-based methods.,"It analyzes file behaviors (e.g., unauthorized modification) to detect unknown variants even without an existing signature pattern.","Heuristic Detection, Antivirus"
Why is 'Reproducibility' among the 5 principles of digital forensics crucial for legal admissibility?,Identical results must be obtained when verified in the same environment to ensure the objectivity and reliability of the analysis.,"Forensic Reproducibility, Admissibility"
Describe the characteristics of 'Fileless' malware that can be detected through memory forensics.,"It resides and executes only in RAM rather than on the hard disk, making it extremely difficult for traditional file-based scanners to detect.","Fileless Malware, Memory Forensics"
List examples of social engineering techniques used during the 'Reconnaissance' phase of an APT attack.,Gathering interests via social media to send tailored phishing emails that distribute malware to specific targets.,"APT Reconnaissance, Social Engineering"
Explain the security role of 'Sandbox' technology in the dynamic analysis of malware.,It executes malware in an isolated virtual environment to analyze its behavior without risking damage to the actual system.,"Sandbox Analysis, Dynamic Analysis"
Describe the technical principle of how a 'Rootkit' hides itself at the OS kernel level.,It intercepts system calls or modifies kernel objects to hide its presence from detection and monitoring tools.,"Rootkit, Stealth Technology"
Explain how 'Obfuscation' of malware hinders static analysis and suggest a countermeasure.,It complicates the code structure to make it unreadable; countermeasures include unpacking or using dynamic analysis.,"Obfuscation, Static Analysis"
How does 'Timeline Analysis' contribute to tracking the path of a security incident?,"By sorting system logs and file events chronologically, it helps identify the initial entry point and the attacker's path.","Timeline Analysis, Incident Response"
Explain the principle of 'Fragmentation' attacks in evasion techniques for bypassing security devices.,"IP packets are split into small fragments to evade pattern matching by security devices, then reassembled at the target host.","Fragmentation Attack, Evasion"
Describe the integrity verification process of 'Code Signing' to prevent reverse engineering and tampering.,The hash of an executable is signed with the developer's private key; the system verifies it with the public key upon execution.,"Code Signing, Integrity"
Explain the scope of 'Access Media' under EFTA and the rationale for prohibiting its transfer.,"Includes IDs, passwords, and certificates; prohibition prevents identity theft and the creation of fraudulent accounts (e.g., mule accounts).","Access Media, Identity Theft Prevention"
What criteria must a financial company prove to be exempt from liability in the event of an accident under EFTA?,"The company must prove the user's 'intent or gross negligence,' such as intentionally leaking access media to a third party.","EFTA Liability, Gross Negligence"
Describe the policy background for legal limits on the 'Face Value' of electronic payment means.,To mitigate money laundering risks and cap potential user losses in the event of a large-scale financial incident.,"Face Value Limit, EFTA"
Specify when a 'Transaction Instruction' can no longer be withdrawn under Article 14 of EFTA.,"For electronic fund transfers, it is when the entry in the recipient's bank ledger is completed, making the payment effective.","Withdrawal of Instruction, EFTA"
Explain the practical reason for requiring 'IT experience' for personnel in the registration of electronic financial businesses.,To ensure that the business entity possesses the minimum technical expertise and professional capacity for system and security management.,"Personnel Requirement, EFTA"
Describe the legal basis for financial companies to notify users of error correction results within 15일.,To protect user rights and promptly restore trust in financial transactions through swift resolution procedures.,"Error Correction, User Rights"
What is the security purpose of obtaining 'written or electronic signature consent' for collection transfers?,To prevent unauthorized withdrawals and secure clear evidence for future disputes regarding fund transfers.,"Collection Transfer Consent, Security"
Why must electronic currency issuers take measures like 'Insurance or Trust' for unredeemed balances?,To guarantee the user's right to redemption and protect the value of the currency even if the issuer goes bankrupt.,"Redemption Guarantee, EFTA"
How does the '5-year retention' requirement for electronic financial records impact financial investigations?,"It ensures traceability of past transactions, providing critical evidence for investigating fraud or money laundering.","Record Retention, Investigation"
Why is a multi-stage approval process essential for 'Inter-network Data Transfer' in a segmented environment?,It provides dual protection against unauthorized data leaks and the influx of malware into the internal network via administrator oversight.,"Network Segmentation, Data Transfer"
Explain the impact of mandatory 'HTTPS' on Sniffing attacks during internet banking.,"It encrypts the communication channel so that even if an attacker intercepts packets, they cannot read the actual data content.","HTTPS, Anti-sniffing"
Describe the benefits of the 'Quarantine' function in a Network Access Control (NAC) solution for infected devices.,It isolates devices that fail security requirements or are infected into a separate network to prevent lateral spread.,"NAC, Quarantine"
Why should 'Unauthorized Shared Folders' be prohibited in a financial internal network?,They can act as propagation paths for ransomware via SMB vulnerabilities and are susceptible to data leaks due to poor access control.,"Shared Folder Security, SMB"
Explain how the 'DNS over HTTPS (DoH)' protocol contributes to user privacy protection.,"By encrypting DNS queries within HTTPS packets, it prevents ISPs or hackers from monitoring the websites being visited.","DoH, Privacy"
Describe the risks of BGP Hijacking attacks on financial sites and suggest countermeasures.,It diverts traffic by forging network paths; countermeasures include adopting route authentication technologies like RPKI.,"BGP Hijacking, RPKI"
Explain the mechanism of a Wireless Intrusion Prevention System (WIPS) in detecting and blocking 'Rogue APs'.,It monitors wireless signals for unauthorized APs and sends de-authentication packets to force-disconnect connected clients.,"WIPS, Rogue AP"
Describe the working principle of the Sender Policy Framework (SPF) for preventing email spoofing.,The receiver compares the actual sender's IP with the authorized IPs listed in the sender domain's DNS records to verify authenticity.,"SPF, Email Security"
Provide a security rationale for strictly limiting 'Any-Any' rules in firewall policy management.,It violates the principle of least privilege and effectively neutralizes the control function of the security device by allowing all traffic.,"Firewall Policy, Least Privilege"
List the 4 mandatory notification items when obtaining 'Collection/Use Consent' under Article 15 of PIPA.,"Purpose of collection, items collected, retention period, and the disadvantage if consent is refused.","PIPA, Mandatory Notification"
Explain legal exceptions where the exercise of the 'Right to Erasure (Right to be Forgotten)' is not possible.,"When retention is mandated by other laws or when public interest, such as a criminal investigation, takes precedence.","Right to Erasure, Exceptions"
Describe the scope of the 'Entrustor's' management and supervision responsibility over the trustee.,"Educating the trustee on legal compliance, conducting regular status checks, and bearing joint liability in case of incidents.","Entrustment, Supervision"
Explain the background for strict limits on processing Resident Registration Numbers and the exceptions.,Strictly limited due to high abuse risk; exceptions only allowed when specifically authorized by law or presidential decree.,"RRN Processing, Privacy"
Describe the core elements of administrative security measures under PIPA's 'Safety Assurance Measures'.,"Establishing an internal management plan, forming a privacy protection organization, and conducting regular training and audits.","Safety Assurance Measures, PIPA"
Specify the difference in consent procedures for 'Sensitive Information' compared to general personal data.,Explicit consent must be obtained separately from other general consent items from the data subject.,"Sensitive Information, Separate Consent"
Explain the practical difference between a 'Privacy Policy' and a 'Notification of Usage History'.,The policy is a public-facing standard; the notification is an individual report to users at least once a year on their actual data usage.,Privacy Policy vs. Usage Notification
Distinguish between notification requirements for CCTV installation and prohibited locations.,Signboards must state the purpose/scope; installation is prohibited in high-privacy areas like bathrooms or locker rooms.,"CCTV Regulations, PIPA"
Describe the administrative sanctions for failing to comply with a 'Corrective Order' from the PIPC.,"Sanctions include administrative fines, penalty surcharges, or public disclosure of the violation.","Corrective Order, Sanctions"
Distinguish between the roles of 'Accreditation Bodies' and 'Evaluation Bodies' under the Digital Signature Act.,Evaluation bodies technically audit compliance with standards; the accreditation body (KISA) reviews the audit to grant final status.,Accreditation vs. Evaluation
Explain how 'Data Integrity' and 'Signer Identity' in digital signatures benefit e-commerce trust.,"By ensuring documents cannot be tampered with and proving the signer's identity, providing legal binding force to transactions.","Digital Signature, Trust"
Why must a Certification Practice Statement (CPS) be permanently posted on the provider's website?,"To transparently disclose procedures and security policies, allowing users to judge the reliability of the service.","CPS, Transparency"
Specify the penalties for falsely displaying compliance with digital signature operation standards.,Those who display compliance without accreditation may face administrative fines and suspension of services.,"False Display, Penalties"
Describe the technical measures a provider must take to prevent theft of a subscriber's 'Signature Creation Information'.,Storing information in secure hardware and establishing procedures for immediate revocation if compromised.,"Signature Creation Information, Security"
List cases where a subscriber must report for the 'Revocation or Suspension' of a digital certificate.,Immediately upon realizing their signature creation information (private key) has been leaked or lost.,"Certificate Revocation, Reporting"
Explain the benefits of the 'International Evaluation' mutual recognition system for domestic companies.,"Domestic technologies can be recognized abroad as equally reliable, reducing redundant evaluation costs for global expansion.",International Mutual Recognition
Why is Multi-factor Authentication (MFA) necessary during the 'Identity Verification' phase of certificate issuance?,To compensate for vulnerabilities in single-factor methods and prevent fraudulent certificate issuance via identity theft.,"MFA, Identity Verification"
Explain the importance of data transfer as a 'Subscriber Protection Measure' when a provider suspends or closes business.,To ensure subscribers can verify their authentication history even after closure by moving records safely to a public body.,"Provider Closure, Subscriber Protection"
Explain the content and exercise method of the 'Right to Explanation regarding Personal Credit Evaluation Results'.,The right to request an explanation for a rating result and request correction if the underlying basic information is incorrect.,"Right to Explanation, Credit Rating"
Specify the mandatory verification items when a 'Right to Data Portability' request is received by a MyData provider.,"Confirming the target institution, specific data items, purpose, and retention period as explicitly intended by the subject.","Data Portability, MyData"
Describe the 'Abuse Prevention' measures for record management and notification of credit information inquiries.,Recording the reason for every inquiry and regularly notifying subjects of their inquiry history to monitor unauthorized access.,"Inquiry History, Abuse Prevention"
List examples of prohibited actions during 'Debt Collection' under the Credit Information Act.,"Prohibited are night visits, assault/threats, and notifying acquaintances of the debt, which disturb the peace of private life.","Debt Collection, Prohibited Actions"
"Explain the scope of data collection by 'Credit Information Collection Agencies' (e.g., KCIS) and the sharing system.","Centralizing loans, delinquencies, and card history to share with financial firms as a basis for determining credit limits.","KCIS, Credit Information Sharing"
Describe the core duties of the 'Credit Information Manager/Protector' appointed by financial companies.,"Establishing security measures, investigating incidents, and overseeing compliance with credit information regulations.",Credit Information Protector
Explain the features of the 'Statutory Damage' claim system for credit information leaks.,"Victims can claim damages within a legally defined range (e.g., up to 3 million KRW) without proving a specific loss amount.","Statutory Damages, Information Leak"
Why is an independent external 'Suitability Assessment' required for pseudonymization under the Credit Information Act?,To increase the safety of data utilization by objectively verifying re-identification risks beyond the company's subjective judgment.,"Pseudonymization, Suitability Assessment"
Describe the core 'Physical Infrastructure' requirements for a MyData business license.,"Must possess computing facilities like network-separated systems, security equipment, and backup facilities for safe data processing.","MyData Infrastructure, Licensing"
Explain how 'Differential Privacy' used in the financial sector balances data analysis and security.,"By adding noise to datasets, it prevents individual record exposure while maintaining the statistical characteristics of the whole.","Differential Privacy, FinTech"
Describe the technical background for why Post-Quantum Cryptography (PQC) must replace existing public-key cryptosystems.,"Quantum computers running Shor's algorithm can quickly solve the mathematical problems underlying RSA and ECC, neutralizing them.","PQC, Quantum Threat"
Explain the risks of 'Prompt Injection' in financial generative AI and suggest countermeasures.,Malicious inputs forcing AI to bypass guidelines or leak sensitive data; countermeasures include strict input filtering and sandboxing.,"Prompt Injection, AI Security"
Describe the role and benefits of a Cloud Access Security Broker (CASB).,It acts as a gateway between cloud services and users to enforce security policies and provide data visibility and encryption.,"CASB, Cloud Security"
Explain the 'OAuth 2.0' authorization process for securing financial Open API platforms.,Users grant third-party apps limited access via tokens without sharing their actual passwords.,"OAuth 2.0, API Security"
Suggest technical countermeasures for 'Deepfake' bypass attacks in remote identity verification.,Combining AI-based liveness detection with requests for random user actions during video calls.,"Deepfake, Liveness Detection"
Explain the importance of 'Image Vulnerability Scanning' for containers in a CI/CD pipeline.,Detecting malware or vulnerable libraries in images before deployment to prevent compromised containers from running in production.,"Container Security, CI/CD"
Describe the benefit to personal data subjects of applying 'Blockchain DID' to financial services.,"Individuals directly manage their identity information and selectively submit only the minimum required data, enhancing privacy.","Blockchain DID, Self-sovereign Identity"
How does 'Explainable AI (XAI)' impact regulatory compliance and trust in financial services?,"By explaining the reasoning behind AI decisions, it proves the fairness and transparency of processes like credit scoring.","XAI, Trustworthy AI"
